婚約破棄？喜んで！　～溺愛王子のお妃なんてお断り。悪役令嬢の私は猫と旅に出ます～,N2695IL,碧空宇未（あおぞら うみ）,"※他サイトベリーズカフェ短編コンテスト『悪役令嬢』で、佳作受賞した作品です。

『悪役令嬢　×　もふもふ《猫》×旅』の短編物語です。
『ジュリア』は『レオン』王子の婚約者で王妃教育を受けていた。彼の誕生日パーティーに出席したらレオンの横には聖女『ユリア』がいた。公衆の場で婚約破棄を言われるが、ジュリアは転生者。
　この世界が乙女ゲームの世界で自分は『悪役令嬢』、王子とは結ばれない運命だと知っていた。

「婚約破棄、喜んで！」
　自由を求め、猫と旅に出る。
　旅の目的地は海の先にある『猫島』。しかし、追っ手が放たれた！　ジュリアは無事に逃げ切り、海にたどり着けるのか？

※）ざまぁ要素はありません。
　もふもふに癒され、わくわくするようなお話です。
　
　ひとときでも楽しんでもらえますように。

★こちらは毎日更新中。ベリーズカフェ、カクヨムにて完結作品読めます。",異世界転生 乙女ゲーム 悪役令嬢 婚約破棄 もふもふ 猫 旅 王子さま ハッピーエンド 猫神 女主人公 短編,2023/10/6 12:03,2023/10/6 21:07,1,3,5128,11
異次元魔王ストラの超絶大冒険～～「（前略）魔王の魔王による魔王のための魔王退治の物語」,N5959HL,多布可良,"「次元粉砕兵器に巻きこまれた影響で記憶と思考がぶッとんでる魂魄移植型超絶戦闘アンドロイド兵器が見知らぬ世界で能ナシに利用されながら旅を続けているつもりで世界をコワす大災厄となる魔王の魔王による魔王のための魔王退治の物語」

↑サブタイです(˘ω˘)


第１章「めざめ」
第２章「はきだめ」
第３章「うらぎり」
第４章「ほろび」
第５章「世の終わりのための四重奏」
第６章「（ま）おうさま」
第７章「かいほう」
第８章「うなばら」
第９章「ことう」
第10章「彼方の閃光と星々の血の喜び」





カクヨムでも連載しております。",R15 残酷な描写あり 異世界転移 オリジナル戦記 冒険 アンドロイド SFファンタジー チート 兵器 転位 無敵 世界破壊系 女性主人公 ESN大賞５ ネトコン11 ドリコム大賞２ キルタイム異世界大賞,2022/2/1 21:05,2023/10/6 21:07,1,531,871960,1744
カルレ辺境領物語〜カレー錬成っていうギフトをもらったけど貧乏領地の三男の僕にとってはあたりギフトでした〜,N7705IK,k０壱,"貧乏な領地に生まれた貴族の三男がカレー錬成というギフトをもらったことから始まる物語。
そのうちBL要素やらモフモフ要素やら妖精さんやらドラゴンさんやら、自分がなろうを読んでいて好きなものを出していこうと思います。

本読むのが好きな人間ですが小説を書くのは初心者ゆえ、読みにくいとか誤字脱字とかたくさんあると思いますが自分のペースで書き連ねていきたいと思いますのでよろしくお願いします！",R15 残酷な描写あり ボーイズラブ 異世界転生 異世界転移 ヒストリカル 日常 ホームドラマ グルメ カレー 恋愛 領地 内政 もふもふ 転生 ほのぼの,2023/9/22 22:48,2023/10/6 21:07,1,11,25321,51
王旗を掲げよ～導きし光～,N4497HM,秋川　大輝,"時系列は「王旗を掲げよ　西に出≪いずる≫彩雲」の十年前になります。

　六種の民が十の国を治める世界。ルクスという魔法のような力で身を護る世界。
　人種樹〈エルミ〉の民の国、ウラノス王国の内務大司長だった父は、謀反の罪を王に掛けられ殺された。十歳のアムルは政治犯としてエルドニア牢獄に入れられる。
　その牢獄で、かつて父が冤罪を着せて収監したボルグたちと出会い、アムルは世界を学んだ。
　ルクスの安定しない13歳で自らの意識を潜り、人が到達し難いルクスの河にまで到達する。
　成長著しいアムルに、生きる道は一つしかないとボルグたちは教え、アムル命を賭しては決行した。
　自由になったアムルは、自らの居場所を求めて旅に出る。
　やがて、彼は人種妖エルグの国で一人の少女と出会った。

　ラルク王国の至宝と呼ばれた少年の物語です。





",R15 残酷な描写あり 冒険 成長 至宝 チート 妖獣 王道ファンタジー,2022/2/20 15:31,2023/10/6 21:07,1,90,305897,612
白銀朱聖女と黒黄金王子〜モフがモフでモフします!?〜,N4709IJ,七瀬　真古都,"　ハリーナ王国の『聖女』であるリューディアは魔力量も国一番であり、魔力の回復力がとある理由により、他の『聖女』『聖者』より桁外れに早かった。
　
　いつも通りの神殿での祈りの最中、婚約者である第二王子に理由もわからないまま婚約破棄を宣言された。
　隣国の大国スーラジス王国との戦争終結の和平交渉の際の捕虜の解放条件として『聖女』を一人渡すこととされ、その一人に選ばれたのがリューディアだった。
　ハリーナ王国での身分を全て無くして引き渡されるため、身分も婚約も全て無かったことになるという。

　別に問題無しと判断し、リューディアは全ての条件を受け入れてスーラジス王国に向かう。そこで出会った隣国の第三王子の様子が少しおかしくて……？

　いきなり始まる溺愛行動。リューディアは何がなんだかわからないまま隣国での生活が始まる。
",R15 残酷な描写あり 溺愛 聖女 獣人 婚約破棄 魔法 アイリスIF3大賞,2023/8/19 21:52,2023/10/6 21:07,1,49,105102,211
春雷記,N3198HZ,槐,"★1,000万PVありがとうございます！★
福島勝千代は京に来ていた。
荒廃した街並み、戦火の匂い途絶えぬ時代。
無法地帯と化した京でも、人々は逞しく生きている。
しばらくは平穏な日々を過ごしていた勝千代だが、再び目まぐるしく物騒な時代の荒波に揉まれることになる。

前作「冬嵐記」と同じ主人公、視点固定です。
四年後からの再スタートです。",R15 残酷な描写あり 時代小説 逆行転生 シリアス 戦国 男主人公,2022/12/19 0:00,2023/10/6 21:07,1,269,630311,1261
トリカゴ・ヒロイックテイル　～小さな魔王と紡ぐ雛鳥の英雄譚～,N2844IL,夏風蒼空,"主人公が住む世界〈オルアロウ〉は、魔族による侵略を受けていた。
幼い頃、自分を助け魔族たちを退けた謎の英雄に強いあこがれを抱く主人公は、
いつかあの英雄のようになりたい、そして再び会いたいと願い、日々鍛錬を行っていた。
英雄と出会ってから10年が経ち、今日も修行をしていると、
ひょんなことからロリな魔王に出会ってしまう!?
この出会いが主人公に何をもたらすのか……

この作品は「カクヨム」にも同時掲載しています。",R15 異能力バトル ラブコメ ファンタジー 学園 ロリ魔王 魔法 英雄 ヒロイン 男主人公 魔族,2023/10/6 21:07,2023/10/6 21:07,1,1,2244,5
学校一可愛いクラスメイトが俺にだけ嘘をつく,N7085IG,羽矢詩,"　百瀬春人（ももせはると）の隣の席には学校一可愛いと噂の桜井美玖（さくらいみく）が座っている。その可愛らしい容姿に性格も相まって彼女に人気があるのは当然のことだが、そんな人気者の彼女に春人は困らされていた。
　それは美玖が春人に対してだけ嘘をつくのだ。揶揄うような、時に甘えるような反応に困るものまで織り交ぜてくる。
　彼女がどうして嘘をつくのか……。美玖の嘘に振り回される日々を春人は送っていた。
　そして、そんな彼女には何か秘密があるみたいだが……。
　これはじれったい二人が自分自身と向き合いながら進む青春の物語。",R15 スクールラブ 日常 青春 ラブコメ すれ違い 男主人公 学園 高校生 恋愛 じれじれ コメディー,2023/6/12 20:02,2023/10/6 21:06,1,64,219730,440
お見合い、ですか？寝取られた二人の、勘違いすれ違いラブストーリー,N9943IK,じん　いちろう,"ビッグプロジェクトを成功させたのに、お互いにパートナーを寝取られた二人のすれ違いラブストーリー。
カクヨムにも投稿しています。",R15 ラブコメ お見合い ラノベ 絵師,2023/9/28 21:07,2023/10/6 21:06,1,20,21629,44
魔法使いハルは神話に至る　～両親を失ったあと、叔母から魔法使いであるとカミングアウトされた青年の人生～,N8465II,とうもろこし,"柊木晴（ひいらぎ　はる）は高校三年の冬、両親を交通事故で失った。
彼には親にも言えなかった秘密があって、両親が事故に遭ったのは自分に責任があるかもしれないと感じていた。
罪悪感に押し潰されそうになった彼は唯一の身内である叔母に秘密を明かした。
叔母は困惑するだろうと思っていたが、ハルは逆にとんでもないことをカミングアウトされてしまう。
彼は叔母から「貴方は魔法使いなのよ」と予想外の事実を伝えられたのだ。

叔母は証拠を示すため、ハルを異世界へ連れて行くと宣言。
繁華街の外れにある古本屋へ向かうと、地下には謎の駅があった。
レトロな電車に乗ること三十分程度、車窓の外には日本とは思えない景色が広がる。
ファンタジー世界に登場するような土地や建物。
更には鳥と一緒に空を飛ぶドラゴンまで。

ハルは電車に揺られ、大昔から密かに地球側と交流を続けていた異世界「ジオ」へと辿り着いた。
ハルは一般人では知り得ない世界の秘密。自身に秘められた魔法使いとしての秘密を知っていく。

だが、同時に大きな事件に巻き込まれてしまう。
両親の死にも関わる事件を解決するため、彼は魔法使いとしての道を歩むことを決意した。

※　カクヨムでも連載中",R15 残酷な描写あり 異世界転移 男主人公 魔法使い 妖精・精霊 現代技術 主人公最強 恋愛 異世界 世界を行き来する 電車で30分,2023/8/4 22:56,2023/10/6 21:06,1,65,308885,618
輪を結う絵筆,N6028GM,國崎晶,ようこそ、「何でも屋 朱雀店」へ。アルバイトの荒木雅美です。お茶を出しますので、そちらのソファーにお掛けください。,日常 青春 ラブコメ ギャグ ほのぼの 現代,2020/9/13 20:06,2023/10/6 21:06,1,144,350930,702
転生と少女と魔法技術と戦争,N2838IL,紫と雪と狐,"転生と少女と魔法技術と戦争の話です。

",R15 残酷な描写あり ボーイズラブ ガールズラブ 異世界転生 ヒストリカル オリジナル戦記 時代小説 少女兵士 TS 戦争 仮想科学 魔法 伝記 記録,2023/10/6 20:51,2023/10/6 21:06,1,2,3079,7
ALPINA: The Promise of Twilight,N4804HW,小深田 とわ,田舎の少年クオン・アルフェインは、ある日魔獣と呼ばれる存在の襲撃に会う。そこへ悪魔を名乗る少女アルピナが現れ救命を引き換えに契約を結ぶ。そして、彼女の命令に従い旅を続け、やがて種族の壁を越えた陰謀に巻き込まれていく。,R15 残酷な描写あり オリジナル戦記 冒険 異世界 ファンタジー 天使 悪魔 龍 契約 魔法,2022/10/7 21:04,2023/10/6 21:06,1,370,1154698,2310
はだれ雪,N1890IL,紫乃森　統子,"文久元年、奥州二本松藩に、十を数えたばかりの姫君がいた。
家老大谷彦十郎の嫡男で、文武に秀でた二十八歳の大谷鳴海は、妙な役替えを申し付けられる。
十歳の姫君の護衛という名の傅役がそれであった。
悩める幼い姫君と、それに振り回される鳴海の短編小説。

※この作品はカクヨム・アルファポリスにも投稿されています。
「風に散る（https://ncode.syosetu.com/n0290hr/）」の番外短編です。（本編未読でも大丈夫だと思います）",時代小説 幕末 二本松藩 主従 江戸時代,2023/10/3 23:18,2023/10/6 21:05,1,4,8016,17
